"","agegrp","DATE","DEATH_STATE","RESIDENCY_STATE","COVID","DEATH","all.visits"
"1","<25Y",2017-01-01,"CDMX","CDMX",0,12,12
"2","<25Y",2017-01-01,"CDMX","OTRO",0,7,7
"3","<25Y",2017-01-02,"CDMX","CDMX",0,14,14
"4","<25Y",2017-01-02,"CDMX","OTRO",0,2,2
"5","<25Y",2017-01-03,"CDMX","CDMX",0,9,9
"6","<25Y",2017-01-03,"CDMX","OTRO",0,3,3
"7","<25Y",2017-01-04,"CDMX","CDMX",0,10,10
"8","<25Y",2017-01-04,"CDMX","OTRO",0,1,1
"9","<25Y",2017-01-05,"CDMX","CDMX",0,10,10
"10","<25Y",2017-01-05,"CDMX","OTRO",0,1,1
"11","<25Y",2017-01-06,"CDMX","CDMX",0,11,11
"12","<25Y",2017-01-06,"CDMX","OTRO",0,1,1
"13","<25Y",2017-01-07,"CDMX","CDMX",0,10,10
"14","<25Y",2017-01-07,"CDMX","OTRO",0,3,3
"15","<25Y",2017-01-08,"CDMX","CDMX",0,7,7
"16","<25Y",2017-01-08,"CDMX","OTRO",0,7,7
"17","<25Y",2017-01-09,"CDMX","CDMX",0,10,10
"18","<25Y",2017-01-09,"CDMX","OTRO",0,3,3
"19","<25Y",2017-01-10,"CDMX","CDMX",0,5,5
"20","<25Y",2017-01-10,"CDMX","OTRO",0,2,2
"21","<25Y",2017-01-11,"CDMX","CDMX",0,13,13
"22","<25Y",2017-01-11,"CDMX","OTRO",0,6,6
"23","<25Y",2017-01-12,"CDMX","CDMX",0,14,14
"24","<25Y",2017-01-12,"CDMX","OTRO",0,4,4
"25","<25Y",2017-01-13,"CDMX","CDMX",0,7,7
"26","<25Y",2017-01-13,"CDMX","OTRO",0,6,6
"27","<25Y",2017-01-14,"CDMX","CDMX",0,8,8
"28","<25Y",2017-01-14,"CDMX","OTRO",0,2,2
"29","<25Y",2017-01-15,"CDMX","CDMX",0,8,8
"30","<25Y",2017-01-15,"CDMX","OTRO",0,5,5
"31","<25Y",2017-01-16,"CDMX","CDMX",0,10,10
"32","<25Y",2017-01-16,"CDMX","OTRO",0,3,3
"33","<25Y",2017-01-17,"CDMX","CDMX",0,12,12
"34","<25Y",2017-01-18,"CDMX","CDMX",0,9,9
"35","<25Y",2017-01-18,"CDMX","OTRO",0,4,4
"36","<25Y",2017-01-19,"CDMX","CDMX",0,13,13
"37","<25Y",2017-01-19,"CDMX","OTRO",0,3,3
"38","<25Y",2017-01-20,"CDMX","CDMX",0,9,9
"39","<25Y",2017-01-20,"CDMX","OTRO",0,2,2
"40","<25Y",2017-01-21,"CDMX","CDMX",0,9,9
"41","<25Y",2017-01-21,"CDMX","OTRO",0,3,3
"42","<25Y",2017-01-22,"CDMX","CDMX",0,10,10
"43","<25Y",2017-01-22,"CDMX","OTRO",0,5,5
"44","<25Y",2017-01-23,"CDMX","CDMX",0,12,12
"45","<25Y",2017-01-23,"CDMX","OTRO",0,2,2
"46","<25Y",2017-01-24,"CDMX","CDMX",0,4,4
"47","<25Y",2017-01-24,"CDMX","OTRO",0,3,3
