"","agegrp","DATE","DEATH_STATE","RESIDENCY_STATE","COVID","DEATH","all.visits"
"1","00-44Y",2017-01-01,"CDMX","CDMX",0,34,34
"2","00-44Y",2017-01-01,"CDMX","OTRO",0,9,9
"3","00-44Y",2017-01-02,"CDMX","CDMX",0,34,34
"4","00-44Y",2017-01-02,"CDMX","OTRO",0,4,4
"5","00-44Y",2017-01-03,"CDMX","CDMX",0,23,23
"6","00-44Y",2017-01-03,"CDMX","OTRO",0,4,4
"7","00-44Y",2017-01-04,"CDMX","CDMX",0,25,25
"8","00-44Y",2017-01-04,"CDMX","OTRO",0,6,6
"9","00-44Y",2017-01-05,"CDMX","CDMX",0,37,37
"10","00-44Y",2017-01-05,"CDMX","OTRO",0,4,4
"11","00-44Y",2017-01-06,"CDMX","CDMX",0,33,33
"12","00-44Y",2017-01-06,"CDMX","OTRO",0,4,4
"13","00-44Y",2017-01-07,"CDMX","CDMX",0,19,19
"14","00-44Y",2017-01-07,"CDMX","OTRO",0,4,4
"15","00-44Y",2017-01-08,"CDMX","CDMX",0,18,18
"16","00-44Y",2017-01-08,"CDMX","OTRO",0,15,15
"17","00-44Y",2017-01-09,"CDMX","CDMX",0,27,27
"18","00-44Y",2017-01-09,"CDMX","OTRO",0,7,7
"19","00-44Y",2017-01-10,"CDMX","CDMX",0,18,18
"20","00-44Y",2017-01-10,"CDMX","OTRO",0,5,5
"21","00-44Y",2017-01-11,"CDMX","CDMX",0,26,26
"22","00-44Y",2017-01-11,"CDMX","OTRO",0,7,7
"23","00-44Y",2017-01-12,"CDMX","CDMX",0,36,36
"24","00-44Y",2017-01-12,"CDMX","OTRO",0,9,9
"25","00-44Y",2017-01-13,"CDMX","CDMX",0,23,23
"26","00-44Y",2017-01-13,"CDMX","OTRO",0,10,10
"27","00-44Y",2017-01-14,"CDMX","CDMX",0,33,33
"28","00-44Y",2017-01-14,"CDMX","OTRO",0,4,4
"29","00-44Y",2017-01-15,"CDMX","CDMX",0,28,28
"30","00-44Y",2017-01-15,"CDMX","OTRO",0,10,10
