"","agevar","DATE","ESTADO_MUERTE","sub.statevar","COVID","DEATH","all.visits"
"1",1,2017-01-01,"CDMX","CDMX",0,218,218
"2",1,2017-01-02,"CDMX","CDMX",0,242,242
"3",1,2017-01-03,"CDMX","CDMX",0,199,199
"4",1,2017-01-04,"CDMX","CDMX",0,237,237
"5",1,2017-01-05,"CDMX","CDMX",0,233,233
"6",1,2017-01-06,"CDMX","CDMX",0,229,229
"7",1,2017-01-07,"CDMX","CDMX",0,205,205
"8",1,2017-01-08,"CDMX","CDMX",0,207,207
"9",1,2017-01-09,"CDMX","CDMX",0,230,230
"10",1,2017-01-10,"CDMX","CDMX",0,239,239
"11",1,2017-01-11,"CDMX","CDMX",0,236,236
"12",1,2017-01-12,"CDMX","CDMX",0,216,216
"13",1,2017-01-13,"CDMX","CDMX",0,229,229
"14",1,2017-01-14,"CDMX","CDMX",0,211,211
"15",1,2017-01-15,"CDMX","CDMX",0,212,212
"16",1,2017-01-16,"CDMX","CDMX",0,231,231
"17",1,2017-01-17,"CDMX","CDMX",0,220,220
"18",1,2017-01-18,"CDMX","CDMX",0,213,213
"19",1,2017-01-19,"CDMX","CDMX",0,221,221
"20",1,2017-01-20,"CDMX","CDMX",0,198,198
"21",1,2017-01-21,"CDMX","CDMX",0,198,198
"22",1,2017-01-22,"CDMX","CDMX",0,186,186
"23",1,2017-01-23,"CDMX","CDMX",0,213,213
"24",1,2017-01-24,"CDMX","CDMX",0,209,209
"25",1,2017-01-25,"CDMX","CDMX",0,206,206
"26",1,2017-01-26,"CDMX","CDMX",0,221,221
"27",1,2017-01-27,"CDMX","CDMX",0,239,239
"28",1,2017-01-28,"CDMX","CDMX",0,227,227
"29",1,2017-01-29,"CDMX","CDMX",0,226,226
"30",1,2017-01-30,"CDMX","CDMX",0,221,221
"31",1,2017-01-31,"CDMX","CDMX",0,228,228
"32",1,2017-02-01,"CDMX","CDMX",0,238,238
"33",1,2017-02-02,"CDMX","CDMX",0,233,233
"34",1,2017-02-03,"CDMX","CDMX",0,239,239
"35",1,2017-02-04,"CDMX","CDMX",0,226,226
"36",1,2017-02-05,"CDMX","CDMX",0,208,208
"37",1,2017-02-06,"CDMX","CDMX",0,191,191
"38",1,2017-02-07,"CDMX","CDMX",0,260,260
"39",1,2017-02-08,"CDMX","CDMX",0,238,238
"40",1,2017-02-09,"CDMX","CDMX",0,207,207
"41",1,2017-02-10,"CDMX","CDMX",0,203,203
"42",1,2017-02-11,"CDMX","CDMX",0,210,210
"43",1,2017-02-12,"CDMX","CDMX",0,218,218
"44",1,2017-02-13,"CDMX","CDMX",0,251,251
"45",1,2017-02-14,"CDMX","CDMX",0,234,234
"46",1,2017-02-15,"CDMX","CDMX",0,233,233
"47",1,2017-02-16,"CDMX","CDMX",0,234,234
"48",1,2017-02-17,"CDMX","CDMX",0,236,236
"49",1,2017-02-18,"CDMX","CDMX",0,236,236
"50",1,2017-02-19,"CDMX","CDMX",0,216,216
"51",1,2017-02-20,"CDMX","CDMX",0,263,263
"52",1,2017-02-21,"CDMX","CDMX",0,223,223
"53",1,2017-02-22,"CDMX","CDMX",0,225,225
"54",1,2017-02-23,"CDMX","CDMX",0,238,238
"55",1,2017-02-24,"CDMX","CDMX",0,219,219
