"","MMWRyear","MMWRweek","MXC_loc_death","MXC_res","MXC_res_<25Y","MXC_res_25-44Y","MXC_res_45-64Y","MXC_res_65+Y","NYC_DOH_loc_<25Y","NYC_DOH_loc_25-44y","NYC_DOH_loc_45-64y","NYC_DOH_loc_65+Y","NYC_DOH_loc_all_age","NYC_DOH_res_<25Y","NYC_DOH_res_25-44y","NYC_DOH_res_45-64y","NYC_DOH_res_65+Y","NYC_DOH_res_all_age","NYC_loc_death","NYC_loc_death_00-44Y","NYC_loc_death_45-64Y","NYC_loc_death_65+Y","NYC_loc_res"
"1",2017,2,1568,1347,64,117,339,827,25,58,233,876,1192,21,49,206,816,1092,1192,83,233,876,1178
"2",2017,3,1491,1299,70,112,311,806,21,60,224,837,1142,20,51,212,782,1065,1142,81,224,837,1133
"3",2017,4,1501,1338,66,98,326,848,20,55,226,906,1207,16,46,209,837,1108,1207,75,226,906,1185
"4",2017,5,1611,1419,85,118,353,863,23,53,260,807,1143,16,50,235,748,1049,1143,76,260,807,1145
"5",2017,6,1517,1337,71,102,350,814,28,58,234,839,1159,22,51,203,785,1061,1159,86,234,839,1146
"6",2017,7,1641,1421,66,123,362,870,19,33,229,834,1115,19,29,199,783,1030,1115,52,229,834,1094
"7",2017,8,1637,1424,55,112,387,870,18,53,187,806,1064,14,46,172,758,990,1064,71,187,806,1061
"8",2017,9,1655,1397,65,131,374,827,15,43,221,777,1056,13,35,195,714,957,1056,58,221,777,1021
"9",2017,10,1621,1381,78,123,323,857,20,48,227,771,1066,17,39,202,720,978,1066,68,227,771,1051
"10",2017,11,1648,1421,64,100,360,897,22,42,228,817,1109,21,37,206,761,1025,1109,64,228,817,1104
"11",2017,12,1572,1353,71,110,332,840,18,51,199,803,1071,16,42,176,749,983,1071,69,199,803,1059
"12",2017,13,1568,1366,70,129,322,845,17,40,218,711,986,14,34,191,670,909,986,57,218,711,974
"13",2017,14,1554,1330,83,108,330,809,21,49,190,730,990,16,42,174,687,919,990,70,190,730,990
"14",2017,15,1373,1172,64,80,300,728,18,44,216,775,1053,15,38,196,717,966,1053,62,216,775,1043
"15",2017,16,1393,1198,65,114,290,729,24,53,219,742,1038,21,42,201,688,952,1038,77,219,742,1012
"16",2017,17,1442,1261,66,104,325,766,30,53,191,758,1032,24,44,175,707,950,1032,83,191,758,1031
"17",2017,18,1351,1179,53,109,298,719,25,52,194,739,1010,20,48,178,698,944,1010,77,194,739,1015
"18",2017,19,1418,1231,78,111,298,744,23,60,184,726,993,19,50,164,689,922,993,83,184,726,1002
"19",2017,20,1440,1237,53,114,303,767,20,49,248,764,1081,17,41,220,718,996,1081,69,248,764,1071
"20",2017,21,1326,1169,73,105,275,716,19,45,223,714,1001,18,39,200,666,923,1001,64,223,714,995
"21",2017,22,1272,1111,74,107,276,654,23,62,204,689,978,20,53,174,640,887,978,85,204,689,971
"22",2017,23,1373,1179,78,110,292,699,19,39,181,686,925,16,35,162,649,862,925,58,181,686,938
"23",2017,24,1303,1109,64,116,289,640,19,47,192,737,995,16,40,171,690,917,995,66,192,737,985
"24",2017,25,1370,1197,80,96,285,736,25,52,211,693,981,22,46,187,654,909,981,77,211,693,988
"25",2017,26,1341,1190,84,93,319,694,17,51,205,670,943,17,45,175,636,873,943,68,205,670,950
"26",2017,27,1294,1120,66,89,293,672,19,54,227,706,1006,16,46,200,650,912,1006,73,227,706,982
"27",2017,28,1363,1136,64,104,301,667,26,39,202,661,928,25,36,178,620,859,928,65,202,661,941
"28",2017,29,1329,1131,58,126,303,644,13,45,187,724,969,11,40,167,674,892,969,58,187,724,955
"29",2017,30,1367,1174,58,103,325,688,20,67,212,646,945,17,56,188,589,850,945,87,212,646,921
"30",2017,31,1392,1184,58,102,287,737,12,51,205,703,971,9,43,181,659,892,971,63,205,703,962
"31",2017,32,1297,1096,59,90,258,689,19,56,207,691,973,15,48,190,651,904,973,75,207,691,964
"32",2017,33,1298,1101,60,108,304,629,29,53,201,718,1001,24,47,178,670,919,1001,82,201,718,1006
"33",2017,34,1282,1134,76,97,283,678,21,46,214,697,978,21,36,189,651,897,978,67,214,697,977
"34",2017,35,1336,1143,75,90,282,696,19,59,216,685,979,13,50,193,631,887,979,78,216,685,969
"35",2017,36,1413,1188,73,111,283,721,20,48,210,698,976,17,45,187,644,893,976,68,210,698,969
"36",2017,37,1469,1287,77,118,313,779,24,50,193,740,1007,21,41,179,698,939,1007,74,193,740,1002
"37",2017,38,1662,1462,122,169,353,818,28,56,190,709,983,21,46,166,650,883,983,84,190,709,948
"38",2017,39,1336,1173,74,102,268,729,20,60,213,746,1039,18,54,195,707,974,1039,80,213,746,1041
"39",2017,40,1356,1185,71,116,308,690,33,43,215,720,1011,28,37,188,679,932,1011,76,215,720,1005
"40",2017,41,1321,1155,61,106,269,719,25,54,198,703,980,23,48,176,664,911,980,79,198,703,971
"41",2017,42,1374,1198,85,116,264,733,30,59,206,735,1030,23,51,184,688,946,1030,89,206,735,1002
"42",2017,43,1380,1213,72,114,313,714,25,46,212,790,1073,22,41,184,740,987,1073,71,212,790,1071
"43",2017,44,1382,1226,84,100,304,738,31,52,204,754,1041,25,40,179,706,950,1041,83,204,754,1016
"44",2017,45,1428,1275,78,123,323,751,27,62,198,765,1052,24,58,180,703,965,1052,89,198,765,1049
"45",2017,46,1390,1206,63,108,284,751,21,41,224,791,1077,16,36,200,727,979,1077,62,224,791,1049
"46",2017,47,1368,1209,66,103,277,763,18,52,203,768,1041,16,48,179,721,964,1041,70,203,768,1030
"47",2017,48,1488,1322,80,112,321,809,19,57,217,795,1088,14,48,190,753,1005,1088,76,217,795,1077
"48",2017,49,1546,1357,78,115,344,820,16,35,178,772,1001,16,33,162,721,932,1001,51,178,772,1014
"49",2017,50,1673,1458,80,140,346,892,26,53,223,837,1139,25,41,198,778,1042,1139,79,223,837,1107
"50",2017,51,1662,1491,92,126,367,906,26,60,237,830,1153,21,48,208,768,1045,1153,86,237,830,1126
"51",2017,52,1629,1425,82,118,316,909,33,62,237,873,1205,28,54,206,829,1117,1205,95,237,873,1189
"52",2018,1,1704,1521,69,115,384,953,26,70,257,998,1351,21,56,231,935,1243,1351,96,257,998,1320
"53",2018,2,1774,1572,46,127,398,1001,24,54,245,1008,1331,17,51,228,949,1245,1331,78,245,1008,1334
"54",2018,3,1886,1667,76,119,387,1085,21,61,198,891,1171,17,49,179,836,1081,1171,82,198,891,1163
"55",2018,4,1845,1645,87,138,394,1026,14,58,252,953,1277,13,49,227,888,1177,1277,72,252,953,1270
"56",2018,5,1728,1545,68,105,354,1018,20,55,228,868,1171,14,47,205,825,1091,1171,75,228,868,1168
"57",2018,6,1769,1567,80,128,361,998,15,55,251,897,1218,12,49,231,841,1133,1218,70,251,897,1227
"58",2018,7,1586,1378,60,127,337,854,21,48,222,906,1197,17,39,203,847,1106,1197,69,222,906,1187
"59",2018,8,1629,1425,78,108,361,878,15,52,193,824,1084,14,48,173,756,991,1084,67,193,824,1082
"60",2018,9,1565,1359,65,128,367,799,36,54,232,800,1122,27,46,196,743,1012,1122,90,232,800,1086
"61",2018,10,1444,1267,65,116,323,763,25,67,230,817,1139,15,59,206,748,1028,1139,92,230,817,1094
"62",2018,11,1452,1281,77,97,310,797,20,37,223,790,1070,17,27,206,750,1000,1070,57,223,790,1068
"63",2018,12,1379,1205,59,101,285,760,21,46,201,765,1033,14,36,184,715,949,1033,67,201,765,1025
"64",2018,13,1357,1211,56,123,292,740,22,42,194,750,1008,19,41,179,700,939,1008,64,194,750,1016
"65",2018,14,1417,1235,64,133,285,753,10,60,244,751,1065,9,49,215,704,977,1065,60,244,751,1056
"66",2018,15,1397,1226,64,125,301,736,16,48,213,816,1093,12,42,185,766,1005,1093,64,213,816,1076
"67",2018,16,1311,1149,52,124,272,701,25,50,196,787,1058,22,39,176,745,982,1058,75,196,787,1054
"68",2018,17,1364,1222,64,119,307,732,17,53,190,718,978,13,44,164,664,885,978,70,190,718,957
"69",2018,18,1409,1255,60,134,312,749,15,53,198,740,1006,10,41,179,684,914,1006,68,198,740,984
"70",2018,19,1416,1278,64,105,342,767,17,57,186,668,928,12,52,164,624,852,928,74,186,668,909
"71",2018,20,1389,1231,72,101,298,760,15,52,175,715,957,13,44,150,661,868,957,67,175,715,951
"72",2018,21,1299,1132,70,97,271,694,29,42,182,748,1001,27,38,168,696,929,1001,71,182,748,1012
