"","variable","epiwk","Week","2016-2017","2017-2018","2018-2019","2019-2020"
"1","All.Deaths",1,27,49694,50956,51674,52344
"2","All.Deaths",2,28,49632,49973,51176,51927
"3","All.Deaths",3,29,49270,50124,50597,51644
"4","All.Deaths",4,30,49691,49357,50268,51660
"5","All.Deaths",5,31,49495,50087,50616,51408
"6","All.Deaths",6,32,49736,50234,50944,51745
"7","All.Deaths",7,33,49802,50182,50281,51014
"8","All.Deaths",8,34,49510,49504,50436,51020
"9","All.Deaths",9,35,49573,50815,50579,51154
"10","All.Deaths",10,36,50078,50980,50272,51828
"11","All.Deaths",11,37,49918,51692,51059,51631
"12","All.Deaths",12,38,49883,51224,51556,51754
"13","All.Deaths",13,39,50252,51339,50936,52753
"14","All.Deaths",14,40,51397,52096,52342,52557
"15","All.Deaths",15,41,52124,51565,51823,53083
"16","All.Deaths",16,42,51432,52211,52958,54326
"17","All.Deaths",17,43,51856,52547,53743,54037
"18","All.Deaths",18,44,51742,53676,53617,54076
"19","All.Deaths",19,45,52531,53250,53530,55679
"20","All.Deaths",20,46,53441,53768,54671,55862
"21","All.Deaths",21,47,53153,54107,54825,56165
"22","All.Deaths",22,48,54587,54748,55030,55406
"23","All.Deaths",23,49,55129,55585,55939,57278
"24","All.Deaths",24,50,55987,57354,56356,57637
"25","All.Deaths",25,51,56711,59493,56483,57403
"26","All.Deaths",26,52,57577,61075,55972,58420
"27","All.Deaths",27,1,57075,65889,58072,59801
"28","All.Deaths",28,2,57951,67100,58125,60226
"29","All.Deaths",29,3,55462,64220,57972,58784
"30","All.Deaths",30,4,53912,62423,57571,58246
"31","All.Deaths",31,5,53527,60414,57863,57646
"32","All.Deaths",32,6,52834,60136,58178,58217
"33","All.Deaths",33,7,49942,58660,57583,57567
"34","All.Deaths",34,8,48653,56483,57465,57636
"35","All.Deaths",35,9,47320,55364,57230,58031
"36","All.Deaths",36,10,47353,55448,57214,58241
"37","All.Deaths",37,11,46462,54212,56056,57137
"38","All.Deaths",38,12,46373,53356,54965,57753
"39","All.Deaths",39,13,44306,52251,55071,61595
"40","All.Deaths",40,14,43045,52323,54886,69988
"41","All.Deaths",41,15,42810,51519,53368,76287
"42","All.Deaths",42,16,41013,49909,51874,73364
"43","All.Deaths",43,17,40445,48752,49964,68886
"44","All.Deaths",44,18,39206,47837,48905,63386
"45","All.Deaths",45,19,36815,45061,46767,60650
"46","All.Deaths",46,20,34841,41255,44059,56677
"47","All.Deaths",47,21,30398,35956,37000,50111
"48","All.Deaths",48,22,NA,NA,26610,39458
"49","All.Deaths",49,23,NA,NA,NA,19741
"50","pi.deaths",1,27,2924,2839,2779,2875
"51","pi.deaths",2,28,2932,3049,2785,2782
"52","pi.deaths",3,29,2771,2762,2712,2685
"53","pi.deaths",4,30,2808,2857,2709,2769
"54","pi.deaths",5,31,2848,2698,2665,2742
"55","pi.deaths",6,32,2828,2728,2681,2653
"56","pi.deaths",7,33,2869,2697,2620,2614
"57","pi.deaths",8,34,2829,2760,2718,2607
"58","pi.deaths",9,35,2870,2717,2634,2629
"59","pi.deaths",10,36,2884,2835,2751,2596
"60","pi.deaths",11,37,3099,3024,2766,2530
"61","pi.deaths",12,38,3022,2951,2827,2724
"62","pi.deaths",13,39,2991,2906,2825,2796
"63","pi.deaths",14,40,3038,3031,2978,2730
"64","pi.deaths",15,41,3199,3016,2878,2799
"65","pi.deaths",16,42,3181,3182,3002,3007
"66","pi.deaths",17,43,3143,3301,3088,3027
"67","pi.deaths",18,44,3112,3249,3025,2956
"68","pi.deaths",19,45,3223,3218,3047,3108
"69","pi.deaths",20,46,3191,3362,3165,3143
"70","pi.deaths",21,47,3273,3246,3201,3062
"71","pi.deaths",22,48,3542,3572,3321,3062
"72","pi.deaths",23,49,3641,3643,3449,3427
"73","pi.deaths",24,50,3817,3917,3592,3591
"74","pi.deaths",25,51,3822,4342,3570,3511
"75","pi.deaths",26,52,4256,5084,3770,3736
"76","pi.deaths",27,1,4552,6291,4104,4489
"77","pi.deaths",28,2,4543,7068,4273,4568
"78","pi.deaths",29,3,4589,6960,4317,4460
"79","pi.deaths",30,4,4376,6583,4139,4330
"80","pi.deaths",31,5,4290,6124,4185,4203
"81","pi.deaths",32,6,4237,5804,4229,4228
"82","pi.deaths",33,7,4063,5628,4325,4287
"83","pi.deaths",34,8,3936,5153,4405,4176
"84","pi.deaths",35,9,3764,4616,4208,4378
"85","pi.deaths",36,10,3782,4405,4152,4491
"86","pi.deaths",37,11,3480,4101,4305,4475
"87","pi.deaths",38,12,3365,3950,4115,4969
"88","pi.deaths",39,13,3197,3839,4031,6429
"89","pi.deaths",40,14,3040,3773,3822,9999
"90","pi.deaths",41,15,2916,3516,3572,12047
"91","pi.deaths",42,16,2701,3266,3392,11079
"92","pi.deaths",43,17,2551,3135,3140,9626
"93","pi.deaths",44,18,2376,2908,2975,8040
"94","pi.deaths",45,19,2126,2636,2805,7182
"95","pi.deaths",46,20,2037,2435,2579,5946
"96","pi.deaths",47,21,1750,2033,2070,4668
"97","pi.deaths",48,22,NA,NA,1426,3017
"98","pi.deaths",49,23,NA,NA,NA,1105
